tail,K_beta,N,N_Tail,N_C1,N_C2,pi_Tail,pi_C1,pi_C2,Mean_Tail,Mean_C1,Mean_C2,Variance_Tail,Variance_C1,Variance_C2,Scale_Tail,Shape_Tail,id,karyotype,NLL,BIC,AIC,entropy,ICL,reduced.entropy,reICL,size,PF
TRUE,2,660,25,103,532,0.0505573476,0.7966499276,0.1527927247,0.1501858429,0.3769030833,0.1843173846,Inf,0.001852891,9.656553e-4,0.052325599,1.5346972062,18,2:2,-959.3591225644,-1840.8113671086,-1894.7182451288,53.9020699223,-1786.9092971863,6.4770767004,-1834.3342904127,12,P
TRUE,2,1243,95,664,484,0.1081574168,0.3670484059,0.5247941773,0.1486764329,0.3356361745,0.1595532237,Inf,0.0029546122,0.0017922602,0.050113899,1.5084477541,19,2:0,-1150.2464409736,-2214.989484849,-2276.4928819471,314.440460644,-1900.549024205,105.9240303512,-2109.0654544553,12,P
TRUE,2,2217,97,872,1248,0.0645435793,0.549598468,0.3858579527,0.0989312426,0.2791224803,0.1390647512,0.0694743201,0.0016265242,0.0012758871,0.051094899,2.0681188229,19,2:1,-2743.4121694247,-5394.377416334,-5462.8243388494,476.9428944016,-4917.4345219324,193.7480279468,-5200.6293884322,12,P
TRUE,2,4253,956,1272,2025,0.2326231824,0.3798787232,0.3874980943,0.2704812778,0.4792282361,0.3277033815,Inf,0.041186068,0.0020210212,0.050420199,1.2291191122,20,2:0,-1996.9426837692,-3893.6208087954,-3969.8853675384,2105.1807659814,-1788.440042814,1229.2435665616,-2664.3771576736,12,R
TRUE,2,2756,676,887,1193,0.2898971598,0.3091296291,0.4009732111,0.2595440339,0.4585120647,0.2524177836,Inf,0.002249057,0.0026369259,0.050314499,1.2404751271,20,2:1,-1907.3489751481,-3719.6395227106,-3790.6979502962,682.7347291222,-3036.9047935884,124.3992763705,-3595.2402462849,12,P
TRUE,2,796,147,317,332,0.2102680965,0.3966910814,0.393040822,0.1366925843,0.7426550607,0.3162900269,Inf,0.0027786428,0.0048495912,0.054054099,1.6541032158,21,2:0,-420.3213637169,-760.4875372037,-816.6427274338,87.6321034135,-672.8554337902,2.941463712,-757.5460734927,12,P
TRUE,2,4200,484,899,2817,0.1392218325,0.2098177477,0.6509604198,0.1347271028,0.5276004576,0.2425563105,Inf,0.0022593614,0.0028059467,0.050314499,1.5960543419,21,2:1,-3506.2481498355,-6912.3822220197,-6988.496299671,552.1428053929,-6360.2394166268,33.3750438459,-6879.0071781849,12,P
TRUE,2,283,34,126,123,0.1706468092,0.3937558254,0.4355973654,0.1974862548,0.4127644768,0.1999422354,Inf,0.0014912818,0.0028403268,0.054945099,1.3854683139,21,2:2,-245.0897740579,-422.4341853442,-466.1795481159,67.3640279836,-355.0701573606,9.575056771,-412.8591285679,12,P
TRUE,2,5282,1108,239,3935,0.2444918509,0.0400765836,0.7154315655,0.5347627733,0.6418986122,0.3063700543,Inf,0.0026206894,0.0028349137,0.050724599,1.1047946251,22,2:0,-4700.6329531878,-9298.4011852614,-9377.2659063757,908.0859832465,-8390.3152020149,3.6952358869,-9294.7059493641,12,F
FALSE,2,244,0,2,242,0,0.9925908946,0.0074091054,NA,0.6309136787,0.2394515486,NA,2.212951e-4,0.0098803442,NA,NA,22,2:1,-208.8402646825,-373.7031835627,-401.68052936510003,0.615147074,-373.0880364887,0.615147074,-373.088036493,8,P
